food,calories,protein,carbs,fats
Apple,61.0,0.3,14.8,0.2
Banana,97.0,1.1,22.7,0.3
Orange,50.0,0.9,11.8,0.1
Grapes,83.0,0.9,19.4,0.2
Mango,60.0,0.8,15.0,0.4
Pear,59.0,0.4,15.2,0.2
Strawberry,36.0,0.7,8.0,0.2
Blueberry,64.0,0.7,14.6,0.3
Pineapple,50.0,0.5,13.1,0.1
Papaya,43.0,0.5,11.0,0.3
Watermelon,30.0,0.6,8.0,0.2
Kiwi,61.0,1.1,15.0,0.5
Guava,68.0,2.6,14.3,1.0
Peach,39.0,0.9,10.0,0.3
Plum,46.0,0.7,11.4,0.3
Cherry,63.0,1.1,16.0,0.2
Apricot,48.0,1.4,11.1,0.4
Avocado,160.0,2.0,9.0,15.0
Coconut,354.0,3.3,15.2,33.5
Pomegranate,83.0,1.7,19.0,1.2
Carrot,41.0,0.9,10.0,0.2
Potato,77.0,2.0,17.0,0.1
Sweet Potato,86.0,1.6,20.1,0.1
Tomato,18.0,0.9,3.9,0.2
Onion,40.0,1.1,9.3,0.1
Garlic,149.0,6.4,33.1,0.5
Cabbage,25.0,1.3,5.8,0.1
Cauliflower,25.0,1.9,5.0,0.3
Broccoli,34.0,2.8,7.0,0.4
Spinach,23.0,2.9,3.6,0.4
Lettuce,15.0,1.4,2.9,0.2
Cucumber,16.0,0.7,3.6,0.1
Zucchini,17.0,1.2,3.1,0.3
Eggplant,25.0,1.0,6.0,0.2
Pumpkin,26.0,1.0,6.5,0.1
Radish,16.0,0.7,3.4,0.1
Beetroot,43.0,1.6,10.0,0.2
Turnip,28.0,0.9,6.4,0.1
Peas,81.0,5.4,14.5,0.4
Corn,96.0,3.4,21.0,1.5
Green Beans,31.0,1.8,7.0,0.2
Bell Pepper,20.0,0.9,4.6,0.2
Chili Pepper,40.0,2.0,9.0,0.4
Okra,33.0,2.0,7.5,0.2
Bottle Gourd,14.0,0.6,3.4,0.1
Bitter Gourd,17.0,1.0,3.7,0.2
Ridge Gourd,20.0,1.2,4.4,0.2
Drumstick,37.0,2.1,8.5,0.2
Brinjal,25.0,1.0,6.0,0.2
Mushroom,22.0,3.1,3.3,0.3
Apple Spinach Salad,120.0,3.0,15.0,5.0
Vegetable Soup,45.0,2.0,8.0,1.5
Mixed Salad,80.0,2.5,10.0,3.0
Boiled Vegetables,70.0,3.0,12.0,1.0
Rice,130.0,2.7,28.0,0.3
Wheat,340.0,13.2,72.0,2.5
Oats,389.0,16.9,66.3,6.9
Barley,354.0,12.5,73.5,2.3
Quinoa,120.0,4.4,21.3,1.9
Milk,42.0,3.4,5.0,1.0
Curd,98.0,3.5,4.7,4.3
Paneer,265.0,18.3,1.2,20.8
Egg,155.0,13.0,1.1,11.0
Chicken Breast,165.0,31.0,0.0,3.6
Fish,206.0,22.0,0.0,12.0
Lentils,116.0,9.0,20.0,0.4
Chickpeas,164.0,9.0,27.0,2.6
Kidney Beans,127.0,8.7,22.8,0.5
Soybean,446.0,36.5,30.0,20.0
Apple (Raw),61.0,0.3,14.8,0.2
Apple (Boiled),57.95,0.28,14.06,0.19
Apple (Cooked),54.9,0.27,13.32,0.18
Apple (Grilled),56.12,0.28,13.62,0.18
Banana (Raw),97.0,1.1,22.7,0.3
Banana (Boiled),92.15,1.04,21.56,0.28
Banana (Cooked),87.3,0.99,20.43,0.27
Banana (Grilled),89.24,1.01,20.88,0.28
Orange (Raw),50.0,0.9,11.8,0.1
Orange (Boiled),47.5,0.85,11.21,0.1
Orange (Cooked),45.0,0.81,10.62,0.09
Orange (Grilled),46.0,0.83,10.86,0.09
Grapes (Raw),83.0,0.9,19.4,0.2
Grapes (Boiled),78.85,0.85,18.43,0.19
Grapes (Cooked),74.7,0.81,17.46,0.18
Grapes (Grilled),76.36,0.83,17.85,0.18
Mango (Raw),60.0,0.8,15.0,0.4
Mango (Boiled),57.0,0.76,14.25,0.38
Mango (Cooked),54.0,0.72,13.5,0.36
Mango (Grilled),55.2,0.74,13.8,0.37
Pear (Raw),59.0,0.4,15.2,0.2
Pear (Boiled),56.05,0.38,14.44,0.19
Pear (Cooked),53.1,0.36,13.68,0.18
Pear (Grilled),54.28,0.37,13.98,0.18
Strawberry (Raw),36.0,0.7,8.0,0.2
Strawberry (Boiled),34.2,0.66,7.6,0.19
Strawberry (Cooked),32.4,0.63,7.2,0.18
Strawberry (Grilled),33.12,0.64,7.36,0.18
Blueberry (Raw),64.0,0.7,14.6,0.3
Blueberry (Boiled),60.8,0.66,13.87,0.28
Blueberry (Cooked),57.6,0.63,13.14,0.27
Blueberry (Grilled),58.88,0.64,13.43,0.28
Pineapple (Raw),50.0,0.5,13.1,0.1
Pineapple (Boiled),47.5,0.47,12.44,0.1
Pineapple (Cooked),45.0,0.45,11.79,0.09
Pineapple (Grilled),46.0,0.46,12.05,0.09
Papaya (Raw),43.0,0.5,11.0,0.3
Papaya (Boiled),40.85,0.47,10.45,0.28
Papaya (Cooked),38.7,0.45,9.9,0.27
Papaya (Grilled),39.56,0.46,10.12,0.28
Watermelon (Raw),30.0,0.6,8.0,0.2
Watermelon (Boiled),28.5,0.57,7.6,0.19
Watermelon (Cooked),27.0,0.54,7.2,0.18
Watermelon (Grilled),27.6,0.55,7.36,0.18
Kiwi (Raw),61.0,1.1,15.0,0.5
Kiwi (Boiled),57.95,1.04,14.25,0.47
Kiwi (Cooked),54.9,0.99,13.5,0.45
Kiwi (Grilled),56.12,1.01,13.8,0.46
Guava (Raw),68.0,2.6,14.3,1.0
Guava (Boiled),64.6,2.47,13.59,0.95
Guava (Cooked),61.2,2.34,12.87,0.9
Guava (Grilled),62.56,2.39,13.16,0.92
