food,calories,protein,carbs,fats
Apple,61,0.3,14.8,0.2
Banana,97,1.1,22.7,0.3
Orange,50,0.9,11.8,0.1
Grapes,83,0.9,19.4,0.2
Mango,60,0.8,15.0,0.4
Pear,59,0.4,15.2,0.2
Strawberry,36,0.7,8.0,0.2
Blueberry,64,0.7,14.6,0.3
Pineapple,50,0.5,13.1,0.1
Papaya,43,0.5,11.0,0.3
Watermelon,30,0.6,8.0,0.2
Kiwi,61,1.1,15.0,0.5
Guava,68,2.6,14.3,1.0
Peach,39,0.9,10.0,0.3
Plum,46,0.7,11.4,0.3
Cherry,63,1.1,16.0,0.2
Apricot,48,1.4,11.1,0.4
Avocado,160,2.0,9.0,15.0
Coconut,354,3.3,15.2,33.5
Pomegranate,83,1.7,19.0,1.2

Carrot,41,0.9,10.0,0.2
Potato,77,2.0,17.0,0.1
Sweet Potato,86,1.6,20.1,0.1
Tomato,18,0.9,3.9,0.2
Onion,40,1.1,9.3,0.1
Garlic,149,6.4,33.1,0.5
Cabbage,25,1.3,5.8,0.1
Cauliflower,25,1.9,5.0,0.3
Broccoli,34,2.8,7.0,0.4
Spinach,23,2.9,3.6,0.4
Lettuce,15,1.4,2.9,0.2
Cucumber,16,0.7,3.6,0.1
Zucchini,17,1.2,3.1,0.3
Eggplant,25,1.0,6.0,0.2
Pumpkin,26,1.0,6.5,0.1
Radish,16,0.7,3.4,0.1
Beetroot,43,1.6,10.0,0.2
Turnip,28,0.9,6.4,0.1
Peas,81,5.4,14.5,0.4
Corn,96,3.4,21.0,1.5

Green Beans,31,1.8,7.0,0.2
Bell Pepper,20,0.9,4.6,0.2
Chili Pepper,40,2.0,9.0,0.4
Okra,33,2.0,7.5,0.2
Bottle Gourd,14,0.6,3.4,0.1
Bitter Gourd,17,1.0,3.7,0.2
Ridge Gourd,20,1.2,4.4,0.2
Drumstick,37,2.1,8.5,0.2
Brinjal,25,1.0,6.0,0.2
Mushroom,22,3.1,3.3,0.3

Apple Spinach Salad,120,3.0,15.0,5.0
Vegetable Soup,45,2.0,8.0,1.5
Mixed Salad,80,2.5,10.0,3.0
Boiled Vegetables,70,3.0,12.0,1.0

Rice,130,2.7,28.0,0.3
Wheat,340,13.2,72.0,2.5
Oats,389,16.9,66.3,6.9
Barley,354,12.5,73.5,2.3
Quinoa,120,4.4,21.3,1.9

Milk,42,3.4,5.0,1.0
Curd,98,3.5,4.7,4.3
Paneer,265,18.3,1.2,20.8
Egg,155,13.0,1.1,11.0
Chicken Breast,165,31.0,0.0,3.6
Fish,206,22.0,0.0,12.0
Lentils,116,9.0,20.0,0.4
Chickpeas,164,9.0,27.0,2.6
Kidney Beans,127,8.7,22.8,0.5
Soybean,446,36.5,30.0,20.0
